regle,type,video_id,chaine,entite,titre,verdict_vincent,commentaire_vincent,signaux,url
R1 signal seul,faux negatif,cwxOXJeZ5sk,Mister V,CNIEL,MISTER V - LES JONES,collaboration remuneree,"""Thanks to : 
Les Produits Laitiers and Adrien Dinh for following me in my projects."" >> N'est-il pas possible de scraper TOUTE la description? Pourquoi celle-ci n'a pas été enregistrée? Explique-moi comment ton outil fonctionne ou dysfonctionne",,https://www.youtube.com/watch?v=cwxOXJeZ5sk
R1 signal seul,faux negatif,lrreuz0RLNA,LORIS GIULIANO,CNIEL,LORIS GIULIANO - NAPOLI,collaboration remuneree,"""Remerciements 
Les Produits Laitiers
Maurizio - Lucifer Spritz & Food
Cibi Cotti…"" >> pourquoi ça n'a pas enregistré ce morceau-là?",,https://www.youtube.com/watch?v=lrreuz0RLNA
R1 signal seul,faux negatif,czykjPMc2B0,Juste Zoé,CNIEL,JE VOUS PRÉSENTE MON NOUVEAU PAPI ( il est épique ),collaboration remuneree,"la description contient ""Collaboration commerciale avec Danone. 
Depuis plus de 100 ans, @danoneyaourt accompagne les Français dans la transmission de bonnes habitudes au quotidien de génération en génération. Danone Le Nature, Danone Velouté Nature et Danone Skyr Nature sont sources de calcium et sont fabriqués avec du lait 100% Français. En savoir plus sur danone.fr"" >> c'est ça qui aurait dû être enregistré",,https://www.youtube.com/watch?v=czykjPMc2B0
R1 signal seul,faux negatif,WCG8jN-i8ZQ,FlorianOnAir,INAPORC,DEGUSTATION : Un PLAT EXQUIS par un GRAND CHEF dans un RESTO TENDANCE ! - VLOG #594,collaboration remuneree,,,https://www.youtube.com/watch?v=WCG8jN-i8ZQ
R1 signal seul,faux negatif,UXC8PGoEULg,FlorianOnAir,INAPORC,"Ce soir, c'est moi qui prépare l'APERO !! -  VLOG #688",collaboration remuneree,,,https://www.youtube.com/watch?v=UXC8PGoEULg
R1 signal seul,faux positif,qmw7pnr2b2A,Bonne Pitance,INTERBEV,Épisode 23 : Coq au Vin Jaune ! Partie 2 #food #recette #cuisine #viande #france #foodie,hors sujet,ce ne sont que des vidéo de recette sans collaboration commerciale,#Viande,https://www.youtube.com/watch?v=qmw7pnr2b2A
R1 signal seul,faux positif,8EXx_AuULwA,Bonne Pitance,INTERBEV,Épisode 23 : Coq au Vin Jaune ! Partie 1 #food #recette #cuisine #viande #france #foodie,hors sujet,ce ne sont que des vidéo de recette sans collaboration commerciale,#Viande,https://www.youtube.com/watch?v=8EXx_AuULwA
R1 signal seul,faux negatif,CHpCoxV8PvA,Check,CNIEL,Mister V et le MQEEBD #CheckFood,collaboration remuneree,"""Partenaire: Les Produits Laitiers""",,https://www.youtube.com/watch?v=CHpCoxV8PvA
R1 signal seul,faux positif,90or2jT6LNk,AgenceBio,CNIEL,De la terre à l'assiette - épisode 15,hors sujet,pas des influenceurs,Produits Laitiers,https://www.youtube.com/watch?v=90or2jT6LNk
R1 signal seul,faux positif,C4o8zYlIFgU,AgenceBio,CNIEL,"Replay La Quotidienne ""Dossier BIO"" avec Philippe Henry et Christophe Audoin en ambassadeurs du bio",hors sujet,pas des influenceurs,Produits Laitiers,https://www.youtube.com/watch?v=C4o8zYlIFgU
R1 signal seul,faux positif,WAYbZ91iVU4,Marché de Rungis,CNIEL,Les Paniers Marché de Rungis x Christophe Saintagne,hors sujet,pas des influenceurs,Produits Laitiers,https://www.youtube.com/watch?v=WAYbZ91iVU4
R1 signal seul,faux positif,5CFBRpwEuwU,Marché de Rungis,CNIEL,RUNGIS CHEESE CHALLENGE,hors sujet,pas des influenceurs,Produits Laitiers,https://www.youtube.com/watch?v=5CFBRpwEuwU
R1 signal seul,faux positif,2ePeGzu8LWM,Marché de Rungis,CNIEL,RUNGIS CHEESE CHALLENGE,hors sujet,pas des influenceurs,Produits Laitiers,https://www.youtube.com/watch?v=2ePeGzu8LWM
R1 signal seul,faux positif,IUZpTS-6e8k,Marché de Rungis,CNIEL,Festival des Produits Laitiers 2023,hors sujet,pas des influenceurs,Produits Laitiers,https://www.youtube.com/watch?v=IUZpTS-6e8k
R1 signal seul,faux positif,g3C1O-tHxTE,Marché de Rungis,CNIEL,Retour en images sur la 2ème Grande Chasse à l’Œuf au Marché International de Rungis 🐣🐤🥚,hors sujet,pas des influenceurs,Produits Laitiers,https://www.youtube.com/watch?v=g3C1O-tHxTE
R1 signal seul,faux positif,u2lizGnqhTE,Naturellement Flexitariens,INTERBEV,"Aimez la viande, mangez-en mieux. - 2019",hors sujet,"C'est directement de la pub du lobby de la viande, sur la chaîne ""@NaturellementFlexitariens""","Aimez la viande | Aimez la viande, mangez-en mieux",https://www.youtube.com/watch?v=u2lizGnqhTE
R1 signal seul,faux positif,0DtE05qWHrk,Naturellement Flexitariens,INTERBEV,"Aimez la viande, mangez-en mieux. - 2020",hors sujet,"C'est directement de la pub du lobby de la viande, sur la chaîne ""@NaturellementFlexitariens""","Aimez la viande | Aimez la viande, mangez-en mieux",https://www.youtube.com/watch?v=0DtE05qWHrk
R1 signal seul,faux positif,D5aGD-cse2k,Naturellement Flexitariens,INTERBEV,"Aimez la viande, mangez-en mieux.",hors sujet,"C'est directement de la pub du lobby de la viande, sur la chaîne ""@NaturellementFlexitariens""","Aimez la viande | Aimez la viande, mangez-en mieux",https://www.youtube.com/watch?v=D5aGD-cse2k
R1 signal seul,faux positif,5AZjClLGjrk,Naturellement Flexitariens,INTERBEV,"Aimez la viande, mangez-en mieux. Thomas revient...",hors sujet,"C'est directement de la pub du lobby de la viande, sur la chaîne ""@NaturellementFlexitariens""","Aimez la viande | Aimez la viande, mangez-en mieux",https://www.youtube.com/watch?v=5AZjClLGjrk
R1 signal seul,faux positif,3IA1CjJ304c,Naturellement Flexitariens,INTERBEV,La Sauce de la Paix - Naturellement Flexitariens,hors sujet,"C'est directement de la pub du lobby de la viande, sur la chaîne ""@NaturellementFlexitariens""",Naturellement Flexitariens,https://www.youtube.com/watch?v=3IA1CjJ304c
R1 signal seul,faux positif,3FIZyVItA5M,Naturellement Flexitariens,INTERBEV,La Sauce de la Paix - Naturellement Flexitariens - 6s,hors sujet,"C'est directement de la pub du lobby de la viande, sur la chaîne ""@NaturellementFlexitariens""",Naturellement Flexitariens,https://www.youtube.com/watch?v=3FIZyVItA5M
R1 signal seul,faux positif,uKsWyK8iKb0,Naturellement Flexitariens,INTERBEV,La Sauce de la Paix - Naturellement Flexitariens - Qui veut...,hors sujet,"C'est directement de la pub du lobby de la viande, sur la chaîne ""@NaturellementFlexitariens""",Naturellement Flexitariens,https://www.youtube.com/watch?v=uKsWyK8iKb0
R1 signal seul,faux positif,fjGFLUdckEA,Naturellement Flexitariens,INTERBEV,La Sauce de la Paix - Naturellement Flexitariens - Liberté,hors sujet,"C'est directement de la pub du lobby de la viande, sur la chaîne ""@NaturellementFlexitariens""",Naturellement Flexitariens,https://www.youtube.com/watch?v=fjGFLUdckEA
